	chapter	tokens
747	02	and
748	02	myrrh
749	02	and
750	02	being
751	02	warned
752	02	of
753	02	god
754	02	in
755	02	a
756	02	dream
757	02	that
758	02	they
759	02	should
760	02	not
761	02	return
762	02	to
763	02	herod
764	02	they
765	02	departed
766	02	into
767	02	their
768	02	own
769	02	country
770	02	another
771	02	way
772	02	and
773	02	when
774	02	they
775	02	were
776	02	departed
777	02	behold
778	02	the
779	02	angel
780	02	of
781	02	the
782	02	lord
783	02	appeareth
784	02	to
785	02	joseph
786	02	in
787	02	a
788	02	dream
789	02	saying
790	02	arise
791	02	and
792	02	take
793	02	the
794	02	young
795	02	child
796	02	and
797	02	his
798	02	mother
799	02	and
800	02	flee
801	02	into
802	02	egypt
803	02	and
804	02	be
805	02	thou
806	02	there
807	02	until
808	02	i
809	02	bring
810	02	thee
811	02	word
812	02	for
813	02	herod
814	02	will
815	02	seek
816	02	the
817	02	young
818	02	child
819	02	to
820	02	destroy
821	02	him
822	02	when
823	02	he
824	02	arose
825	02	he
826	02	took
827	02	the
828	02	young
829	02	child
830	02	and
831	02	his
832	02	mother
833	02	by
834	02	night
835	02	and
836	02	departed
837	02	into
838	02	egypt
839	02	and
840	02	was
841	02	there
842	02	until
843	02	the
844	02	death
845	02	of
846	02	herod
847	02	that
848	02	it
849	02	might
850	02	be
851	02	fulfilled
852	02	which
853	02	was
854	02	spoken
855	02	of
856	02	the
857	02	lord
858	02	by
859	02	the
860	02	prophet
861	02	saying
862	02	out
863	02	of
864	02	egypt
865	02	have
866	02	i
867	02	called
868	02	my
869	02	son
870	02	then
871	02	herod
872	02	when
873	02	he
874	02	saw
875	02	that
876	02	he
877	02	was
878	02	mocked
879	02	of
880	02	the
881	02	wise
882	02	men
883	02	was
884	02	exceeding
885	02	wroth
886	02	and
887	02	sent
888	02	forth
889	02	and
890	02	slew
891	02	all
892	02	the
893	02	children
894	02	that
895	02	were
896	02	in
897	02	bethlehem
898	02	and
899	02	in
900	02	all
901	02	the
902	02	coasts
903	02	thereof
904	02	from
905	02	two
906	02	years
907	02	old
908	02	and
909	02	under
910	02	according
911	02	to
912	02	the
913	02	time
914	02	which
915	02	he
916	02	had
917	02	diligently
918	02	inquired
919	02	of
920	02	the
921	02	wise
922	02	men
923	02	then
924	02	was
925	02	fulfilled
926	02	that
927	02	which
928	02	was
929	02	spoken
930	02	by
931	02	jeremiah
932	02	the
933	02	prophet
934	02	saying
935	02	in
936	02	rama
937	02	was
938	02	there
939	02	a
940	02	voice
941	02	heard
942	02	lamentation
943	02	and
944	02	weeping
945	02	and
946	02	great
947	02	mourning
948	02	rachel
949	02	weeping
950	02	for
951	02	her
952	02	children
953	02	and
954	02	would
955	02	not
956	02	be
957	02	comforted
958	02	because
959	02	they
960	02	are
961	02	not
962	02	but
963	02	when
964	02	herod
965	02	was
966	02	dead
967	02	behold
968	02	an
969	02	angel
970	02	of
971	02	the
972	02	lord
973	02	appeareth
974	02	in
975	02	a
976	02	dream
977	02	to
978	02	joseph
979	02	in
980	02	egypt
981	02	saying
982	02	arise
983	02	and
984	02	take
985	02	the
986	02	young
987	02	child
988	02	and
989	02	his
990	02	mother
991	02	and
992	02	go
993	02	into
994	02	the
995	02	land
996	02	of
997	02	israel
998	02	for
999	02	they
1000	02	are
1001	02	dead
1002	02	which
1003	02	sought
1004	02	the
1005	02	young
1006	02	child's
1007	02	life
1008	02	and
1009	02	he
1010	02	arose
1011	02	and
1012	02	took
1013	02	the
1014	02	young
1015	02	child
1016	02	and
1017	02	his
1018	02	mother
1019	02	and
1020	02	came
1021	02	into
1022	02	the
1023	02	land
1024	02	of
1025	02	israel
1026	02	but
1027	02	when
1028	02	he
1029	02	heard
1030	02	that
1031	02	archelaus
1032	02	did
1033	02	reign
1034	02	in
1035	02	judaea
1036	02	in
1037	02	the
1038	02	room
1039	02	of
1040	02	his
1041	02	father
1042	02	herod
1043	02	he
1044	02	was
1045	02	afraid
1046	02	to
1047	02	go
1048	02	thither
1049	02	notwithstanding
1050	02	being
1051	02	warned
1052	02	of
1053	02	god
1054	02	in
1055	02	a
1056	02	dream
1057	02	he
1058	02	turned
1059	02	aside
1060	02	into
1061	02	the
1062	02	parts
1063	02	of
1064	02	galilee
1065	02	and
1066	02	he
1067	02	came
1068	02	and
1069	02	dwelt
1070	02	in
1071	02	a
1072	02	city
1073	02	called
1074	02	nazareth
1075	02	that
1076	02	it
1077	02	might
1078	02	be
1079	02	fulfilled
1080	02	which
1081	02	was
1082	02	spoken
1083	02	by
1084	02	the
1085	02	prophets
1086	02	he
1087	02	shall
1088	02	be
1089	02	called
1090	02	a
1091	02	nazarene
1092	03	in
1093	03	those
1094	03	days
1095	03	came
1096	03	john
1097	03	the
1098	03	baptist
1099	03	preaching
1100	03	in
1101	03	the
1102	03	wilderness
1103	03	of
1104	03	judaea
1105	03	and
1106	03	saying
1107	03	repent
1108	03	ye
1109	03	for
1110	03	the
1111	03	kingdom
1112	03	of
1113	03	heaven
1114	03	is
1115	03	at
1116	03	hand
1117	03	for
1118	03	this
1119	03	is
1120	03	he
1121	03	that
1122	03	was
1123	03	spoken
1124	03	of
1125	03	by
1126	03	the
1127	03	prophet
1128	03	esaias
1129	03	saying
1130	03	the
1131	03	voice
1132	03	of
1133	03	one
1134	03	crying
1135	03	in
1136	03	the
1137	03	wilderness
1138	03	prepare
1139	03	ye
1140	03	the
1141	03	way
1142	03	of
1143	03	the
1144	03	lord
1145	03	make
1146	03	his
1147	03	paths
1148	03	straight
1149	03	and
1150	03	the
1151	03	same
1152	03	john
1153	03	had
1154	03	his
1155	03	raiment
1156	03	of
1157	03	camel's
1158	03	hair
1159	03	and
1160	03	a
1161	03	leathern
1162	03	girdle
1163	03	about
1164	03	his
1165	03	loins
1166	03	and
1167	03	his
1168	03	meat
1169	03	was
1170	03	locusts
1171	03	and
1172	03	wild
1173	03	honey
1174	03	then
1175	03	went
1176	03	out
1177	03	to
1178	03	him
1179	03	jerusalem
1180	03	and
1181	03	all
1182	03	judaea
1183	03	and
1184	03	all
1185	03	the
1186	03	region
1187	03	round
1188	03	about
1189	03	jordan
1190	03	and
1191	03	were
1192	03	baptized
1193	03	of
1194	03	him
1195	03	in
1196	03	jordan
1197	03	confessing
1198	03	their
1199	03	sins
1200	03	but
1201	03	when
1202	03	he
1203	03	saw
1204	03	many
1205	03	of
1206	03	the
1207	03	pharisees
1208	03	and
1209	03	sadducees
1210	03	come
1211	03	to
1212	03	his
1213	03	baptism
1214	03	he
1215	03	said
1216	03	unto
1217	03	them
1218	03	o
1219	03	generation
1220	03	of
1221	03	vipers
1222	03	who
1223	03	hath
1224	03	warned
1225	03	you
1226	03	to
1227	03	flee
1228	03	from
1229	03	the
1230	03	wrath
1231	03	to
1232	03	come
1233	03	bring
1234	03	forth
1235	03	therefore
1236	03	fruits
1237	03	meet
1238	03	for
1239	03	repentance
1240	03	and
1241	03	think
1242	03	not
1243	03	to
1244	03	say
1245	03	within
1246	03	yourselves
1247	03	we
1248	03	have
1249	03	abraham
1250	03	to
1251	03	our
1252	03	father
1253	03	for
1254	03	i
1255	03	say
1256	03	unto
1257	03	you
1258	03	that
1259	03	god
1260	03	is
1261	03	able
1262	03	of
1263	03	these
1264	03	stones
1265	03	to
1266	03	raise
1267	03	up
1268	03	children
1269	03	unto
1270	03	abraham
1271	03	and
1272	03	now
1273	03	also
1274	03	the
1275	03	axe
1276	03	is
1277	03	laid
1278	03	unto
1279	03	the
1280	03	root
1281	03	of
1282	03	the
1283	03	trees
1284	03	therefore
1285	03	every
1286	03	tree
1287	03	which
1288	03	bringeth
1289	03	not
1290	03	forth
1291	03	good
1292	03	fruit
1293	03	is
1294	03	hewn
1295	03	down
1296	03	and
1297	03	cast
1298	03	into
1299	03	the
1300	03	fire
1301	03	i
1302	03	indeed
1303	03	baptize
1304	03	you
1305	03	with
1306	03	water
1307	03	unto
1308	03	repentance
1309	03	but
1310	03	he
1311	03	that
1312	03	cometh
1313	03	after
1314	03	me
1315	03	is
1316	03	mightier
1317	03	than
1318	03	i
1319	03	whose
1320	03	shoes
1321	03	i
1322	03	am
1323	03	not
1324	03	worthy
1325	03	to
1326	03	bear
1327	03	he
1328	03	shall
1329	03	baptize
1330	03	you
1331	03	with
1332	03	the
1333	03	holy
1334	03	ghost
1335	03	and
1336	03	with
1337	03	fire
1338	03	whose
1339	03	fan
1340	03	is
1341	03	in
1342	03	his
1343	03	hand
1344	03	and
1345	03	he
1346	03	will
1347	03	throughly
1348	03	purge
1349	03	his
1350	03	floor
1351	03	and
1352	03	gather
1353	03	his
1354	03	wheat
1355	03	into
1356	03	the
1357	03	garner
1358	03	but
1359	03	he
1360	03	will
1361	03	burn
1362	03	up
1363	03	the
1364	03	chaff
1365	03	with
1366	03	unquenchable
1367	03	fire
1368	03	then
1369	03	cometh
1370	03	jesus
1371	03	from
1372	03	galilee
1373	03	to
1374	03	jordan
1375	03	unto
1376	03	john
1377	03	to
1378	03	be
1379	03	baptized
1380	03	of
1381	03	him
1382	03	but
1383	03	john
1384	03	forbad
1385	03	him
1386	03	saying
1387	03	i
1388	03	have
1389	03	need
1390	03	to
1391	03	be
1392	03	baptized
1393	03	of
1394	03	thee
1395	03	and
1396	03	comest
1397	03	thou
1398	03	to
1399	03	me
1400	03	and
1401	03	jesus
1402	03	answering
1403	03	said
1404	03	unto
1405	03	him
1406	03	suffer
1407	03	it
1408	03	to
1409	03	be
1410	03	so
1411	03	now
1412	03	for
1413	03	thus
1414	03	it
1415	03	becometh
1416	03	us
1417	03	to
1418	03	fulfil
1419	03	all
1420	03	righteousness
1421	03	then
1422	03	he
1423	03	suffered
1424	03	him
1425	03	and
1426	03	jesus
1427	03	when
1428	03	he
1429	03	was
1430	03	baptized
1431	03	went
1432	03	up
1433	03	straightway
1434	03	out
1435	03	of
1436	03	the
1437	03	water
1438	03	and
1439	03	lo
1440	03	the
1441	03	heavens
1442	03	were
1443	03	opened
1444	03	unto
1445	03	him
1446	03	and
1447	03	he
1448	03	saw
1449	03	the
1450	03	spirit
1451	03	of
1452	03	god
1453	03	descending
1454	03	like
1455	03	a
1456	03	dove
1457	03	and
1458	03	lighting
1459	03	upon
1460	03	him
1461	03	and
1462	03	lo
1463	03	a
1464	03	voice
1465	03	from
1466	03	heaven
1467	03	saying
1468	03	this
1469	03	is
1470	03	my
1471	03	beloved
1472	03	son
1473	03	in
1474	03	whom
1475	03	i
1476	03	am
1477	03	well
1478	03	pleased
1479	04	then
1480	04	was
1481	04	jesus
1482	04	led
1483	04	up
1484	04	of
1485	04	the
1486	04	spirit
1487	04	into
1488	04	the
1489	04	wilderness
1490	04	to
1491	04	be
1492	04	tempted
1493	04	of
1494	04	the
1495	04	devil
1496	04	and
1497	04	when
1498	04	he
1499	04	had
1500	04	fasted
1501	04	forty
1502	04	days
1503	04	and
1504	04	forty
1505	04	nights
1506	04	he
1507	04	was
1508	04	afterward
1509	04	an
1510	04	hungred
1511	04	and
1512	04	when
1513	04	the
1514	04	tempter
1515	04	came
1516	04	to
1517	04	him
1518	04	he
1519	04	said
1520	04	if
1521	04	thou
1522	04	be
1523	04	the
1524	04	son
1525	04	of
1526	04	god
1527	04	command
1528	04	that
1529	04	these
1530	04	stones
1531	04	be
1532	04	made
1533	04	bread
1534	04	but
1535	04	he
1536	04	answered
1537	04	and
1538	04	said
1539	04	it
1540	04	is
1541	04	written
1542	04	man
1543	04	shall
1544	04	not
1545	04	live
1546	04	by
1547	04	bread
1548	04	alone
1549	04	but
1550	04	by
1551	04	every
1552	04	word
1553	04	that
1554	04	proceedeth
1555	04	out
1556	04	of
1557	04	the
1558	04	mouth
1559	04	of
1560	04	god
1561	04	then
1562	04	the
1563	04	devil
1564	04	taketh
1565	04	him
1566	04	up
1567	04	into
1568	04	the
1569	04	holy
1570	04	city
1571	04	and
1572	04	setteth
1573	04	him
1574	04	on
1575	04	a
1576	04	pinnacle
1577	04	of
1578	04	the
1579	04	temple
1580	04	and
1581	04	saith
1582	04	unto
1583	04	him
1584	04	if
1585	04	thou
1586	04	be
1587	04	the
1588	04	son
1589	04	of
1590	04	god
1591	04	cast
1592	04	thyself
1593	04	down
1594	04	for
1595	04	it
1596	04	is
1597	04	written
1598	04	he
1599	04	shall
1600	04	give
1601	04	his
1602	04	angels
1603	04	charge
1604	04	concerning
1605	04	thee
1606	04	and
1607	04	in
1608	04	their
1609	04	hands
1610	04	they
1611	04	shall
1612	04	bear
1613	04	thee
1614	04	up
1615	04	lest
1616	04	at
1617	04	any
1618	04	time
1619	04	thou
1620	04	dash
1621	04	thy
1622	04	foot
1623	04	against
1624	04	a
1625	04	stone
1626	04	jesus
1627	04	said
1628	04	unto
1629	04	him
1630	04	it
1631	04	is
1632	04	written
1633	04	again
1634	04	thou
1635	04	shalt
1636	04	not
1637	04	tempt
1638	04	the
1639	04	lord
1640	04	thy
1641	04	god
1642	04	again
1643	04	the
1644	04	devil
1645	04	taketh
1646	04	him
1647	04	up
1648	04	into
1649	04	an
1650	04	exceeding
1651	04	high
1652	04	mountain
1653	04	and
1654	04	sheweth
1655	04	him
1656	04	all
1657	04	the
1658	04	kingdoms
1659	04	of
1660	04	the
1661	04	world
1662	04	and
1663	04	the
1664	04	glory
1665	04	of
1666	04	them
1667	04	and
1668	04	saith
1669	04	unto
1670	04	him
1671	04	all
1672	04	these
1673	04	things
1674	04	will
1675	04	i
1676	04	give
1677	04	thee
1678	04	if
1679	04	thou
1680	04	wilt
1681	04	fall
1682	04	down
1683	04	and
1684	04	worship
1685	04	me
1686	04	then
1687	04	saith
1688	04	jesus
1689	04	unto
1690	04	him
1691	04	get
1692	04	thee
1693	04	hence
1694	04	satan
1695	04	for
1696	04	it
1697	04	is
1698	04	written
1699	04	thou
1700	04	shalt
1701	04	worship
1702	04	the
1703	04	lord
1704	04	thy
1705	04	god
1706	04	and
1707	04	him
1708	04	only
1709	04	shalt
1710	04	thou
1711	04	serve
1712	04	then
1713	04	the
1714	04	devil
1715	04	leaveth
1716	04	him
1717	04	and
1718	04	behold
1719	04	angels
1720	04	came
1721	04	and
1722	04	ministered
1723	04	unto
1724	04	him
1725	04	now
1726	04	when
1727	04	jesus
1728	04	had
1729	04	heard
1730	04	that
1731	04	john
1732	04	was
1733	04	cast
1734	04	into
1735	04	prison
1736	04	he
1737	04	departed
1738	04	into
1739	04	galilee
1740	04	and
1741	04	leaving
1742	04	nazareth
1743	04	he
1744	04	came
1745	04	and
1746	04	dwelt
1747	04	in
1748	04	capernaum
1749	04	which
1750	04	is
1751	04	upon
1752	04	the
1753	04	sea
1754	04	coast
1755	04	in
1756	04	the
1757	04	borders
1758	04	of
1759	04	zabulon
1760	04	and
1761	04	nephthalim
1762	04	that
1763	04	it
1764	04	might
1765	04	be
1766	04	fulfilled
1767	04	which
1768	04	was
1769	04	spoken
1770	04	by
1771	04	esaias
1772	04	the
1773	04	prophet
1774	04	saying
1775	04	the
1776	04	land
1777	04	of
1778	04	zabulon
1779	04	and
1780	04	the
1781	04	land
1782	04	of
1783	04	nephthalim
1784	04	by
1785	04	the
1786	04	way
1787	04	of
1788	04	the
1789	04	sea
1790	04	beyond
1791	04	jordan
1792	04	galilee
1793	04	of
1794	04	the
1795	04	gentiles
1796	04	the
1797	04	people
1798	04	which
1799	04	sat
1800	04	in
1801	04	darkness
1802	04	saw
1803	04	great
1804	04	light
1805	04	and
1806	04	to
1807	04	them
1808	04	which
1809	04	sat
1810	04	in
1811	04	the
1812	04	region
1813	04	and
1814	04	shadow
1815	04	of
1816	04	death
1817	04	light
1818	04	is
1819	04	sprung
1820	04	up
1821	04	from
1822	04	that
1823	04	time
1824	04	jesus
1825	04	began
1826	04	to
1827	04	preach
1828	04	and
1829	04	to
1830	04	say
1831	04	repent
1832	04	for
1833	04	the
1834	04	kingdom
1835	04	of
1836	04	heaven
1837	04	is
1838	04	at
1839	04	hand
1840	04	and
1841	04	jesus
1842	04	walking
1843	04	by
1844	04	the
1845	04	sea
1846	04	of
1847	04	galilee
1848	04	saw
1849	04	two
1850	04	brethren
1851	04	simon
1852	04	called
1853	04	peter
1854	04	and
1855	04	andrew
1856	04	his
1857	04	brother
1858	04	casting
1859	04	a
1860	04	net
1861	04	into
1862	04	the
1863	04	sea
1864	04	for
1865	04	they
1866	04	were
1867	04	fishers
1868	04	and
1869	04	he
1870	04	saith
1871	04	unto
1872	04	them
1873	04	follow
1874	04	me
1875	04	and
1876	04	i
1877	04	will
1878	04	make
1879	04	you
1880	04	fishers
1881	04	of
1882	04	men
1883	04	and
1884	04	they
1885	04	straightway
1886	04	left
1887	04	their
1888	04	nets
1889	04	and
1890	04	followed
1891	04	him
1892	04	and
1893	04	going
1894	04	on
1895	04	from
1896	04	thence
1897	04	he
1898	04	saw
1899	04	other
1900	04	two
1901	04	brethren
1902	04	james
1903	04	the
1904	04	son
1905	04	of
1906	04	zebedee
1907	04	and
1908	04	john
1909	04	his
1910	04	brother
1911	04	in
1912	04	a
1913	04	ship
1914	04	with
1915	04	zebedee
1916	04	their
1917	04	father
1918	04	mending
1919	04	their
1920	04	nets
1921	04	and
1922	04	he
1923	04	called
1924	04	them
1925	04	and
1926	04	they
1927	04	immediately
1928	04	left
1929	04	the
1930	04	ship
1931	04	and
1932	04	their
1933	04	father
1934	04	and
1935	04	followed
1936	04	him
1937	04	and
1938	04	jesus
1939	04	went
1940	04	about
1941	04	all
1942	04	galilee
1943	04	teaching
1944	04	in
1945	04	their
1946	04	synagogues
1947	04	and
1948	04	preaching
1949	04	the
1950	04	gospel
1951	04	of
1952	04	the
1953	04	kingdom
1954	04	and
1955	04	healing
1956	04	all
1957	04	manner
1958	04	of
1959	04	sickness
1960	04	and
1961	04	all
1962	04	manner
1963	04	of
1964	04	disease
1965	04	among
1966	04	the
1967	04	people
1968	04	and
1969	04	his
1970	04	fame
1971	04	went
1972	04	throughout
1973	04	all
1974	04	syria
1975	04	and
1976	04	they
1977	04	brought
1978	04	unto
